## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../mapping/BT134.sorted.bam] OUTPUT=BT134.dedup.bam METRICS_FILE=BT134.marked_dup_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 13 11:01:04 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BT134-LIB	10978	5170859	21275	10982	1837	417691	83019	0.08087	36958637

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.015203	4367971	0	4437659
2.0	1.897858	355351	77356	297424
3.0	2.66527	27434	2572	17058
4.0	3.332487	2204	141	979
5.0	3.912591	185	19	45
6.0	4.416954	19	4	3
7.0	4.855466	3	0	0
8.0	5.236725	1	0	0
9.0	5.568205	0	0	0
10.0	5.856407	0	0	0
11.0	6.106979	0	0	0
12.0	6.324837	0	0	0
13.0	6.51425	0	0	0
14.0	6.678933	0	0	0
15.0	6.822115	0	0	0
16.0	6.946602	0	0	0
17.0	7.054836	0	0	0
18.0	7.148938	0	0	0
19.0	7.230754	0	0	0
20.0	7.301888	0	0	0
21.0	7.363735	0	0	0
22.0	7.417507	0	0	0
23.0	7.464258	0	0	0
24.0	7.504905	0	0	0
25.0	7.540245	0	0	0
26.0	7.570971	0	0	0
27.0	7.597685	0	0	0
28.0	7.620912	0	0	0
29.0	7.641106	0	0	0
30.0	7.658663	0	0	0
31.0	7.673928	0	0	0
32.0	7.6872	0	0	0
33.0	7.698739	0	0	0
34.0	7.708772	0	0	0
35.0	7.717494	0	0	0
36.0	7.725078	0	0	0
37.0	7.731672	0	0	0
38.0	7.737405	0	0	0
39.0	7.742389	0	0	0
40.0	7.746722	0	0	0
41.0	7.75049	0	0	0
42.0	7.753766	0	0	0
43.0	7.756614	0	0	0
44.0	7.75909	0	0	0
45.0	7.761243	0	0	0
46.0	7.763115	0	0	0
47.0	7.764742	0	0	0
48.0	7.766157	0	0	0
49.0	7.767388	0	0	0
50.0	7.768457	0	0	0
51.0	7.769387	0	0	0
52.0	7.770196	0	0	0
53.0	7.770899	0	0	0
54.0	7.77151	0	0	0
55.0	7.772041	0	0	0
56.0	7.772503	0	0	0
57.0	7.772905	0	0	0
58.0	7.773254	0	0	0
59.0	7.773558	0	0	0
60.0	7.773822	0	0	0
61.0	7.774051	0	0	0
62.0	7.774251	0	0	0
63.0	7.774424	0	0	0
64.0	7.774575	0	0	0
65.0	7.774706	0	0	0
66.0	7.77482	0	0	0
67.0	7.77492	0	0	0
68.0	7.775006	0	0	0
69.0	7.775081	0	0	0
70.0	7.775146	0	0	0
71.0	7.775203	0	0	0
72.0	7.775252	0	0	0
73.0	7.775295	0	0	0
74.0	7.775332	0	0	0
75.0	7.775364	0	0	0
76.0	7.775392	0	0	0
77.0	7.775417	0	0	0
78.0	7.775438	0	0	0
79.0	7.775457	0	0	0
80.0	7.775473	0	0	0
81.0	7.775487	0	0	0
82.0	7.775499	0	0	0
83.0	7.775509	0	0	0
84.0	7.775519	0	0	0
85.0	7.775527	0	0	0
86.0	7.775534	0	0	0
87.0	7.77554	0	0	0
88.0	7.775545	0	0	0
89.0	7.775549	0	0	0
90.0	7.775553	0	0	0
91.0	7.775557	0	0	0
92.0	7.77556	0	0	0
93.0	7.775562	0	0	0
94.0	7.775565	0	0	0
95.0	7.775567	0	0	0
96.0	7.775568	0	0	0
97.0	7.77557	0	0	0
98.0	7.775571	0	0	0
99.0	7.775572	0	0	0
100.0	7.775573	0	0	0

